id,smiles,inchiKey,parentGroupLabel,reactionStep,functionalGroup,stoichiometry,uff_energy,mmff_energy
5285,Fc1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4,FIPLNKRCKYEUKY-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.24067017,42.24466223
5288,c1cc(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4,FMEIHSKCBILFGM-FOCLMDBBSA-N,12,0,F,C16H6S2O2F2,79.51439396,54.66618765
5295,Fc1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,FPSUXWMDKBGOTB-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,80.17295382,53.83523972
5296,Fc1cccc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,FQHDEKSRVDVOME-FOCLMDBBSA-N,12,0,F,C16H7S2O2F,79.80861015,64.11901216
5303,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4F,FWURYZSSUANGBD-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.94273589,50.05044216
5307,Fc1ccc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4,FYRSXPSFMMBSQL-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.23893995,54.13124658
5309,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4,GBBSREGDCBTCJR-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.44468405,53.01306387
5312,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)ccc4F,GEUVANJDDOLXCC-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.39350237,65.55851758
5317,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)cc4,GIGOOMMRTPUXJD-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.09256233,80.00633941
5326,Fc1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4F,GPYLIJJUXBTPHH-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.87352899,43.48135528
5331,Fc1c(F)c(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4,GTBSVIYFNAOMHO-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.14850615,47.3615239
5332,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)cc(F)c4F,GTMKOPQAIPDENG-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.52983888,57.12615547
5346,Fc1c(F)ccc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,HGUBBUXBXCHATC-FOCLMDBBSA-N,12,0,F,C16H6S2O2F2,79.94451407,63.27203193
5347,c1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)ccc4,HHDWOLVXDAMFIH-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,79.89259488,53.86204712
5351,Fc1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)cc4F,HKXYHVKBBYOWRV-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.96394285,42.57578902
5352,Fc1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)ccc4,HMBMIRIJNBZDKN-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.3959702,53.65482105
5354,c1cc(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4F,HNPBHNAILBLNHF-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,80.01258265,55.87154849
5361,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,HRYHWZLXDALWIG-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,79.87110588,68.31026099
5367,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4F,HXRSDPBRTPXKEX-FOCLMDBBSA-N,12,0,F,C16HS2O2F7,81.07894188,45.88051242
5369,Fc1cc(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4,IBFGFGQWUGOKKD-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,79.94499733,41.55233075
5371,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)c(F)c4,IEQWZAIUFIXWOB-FOCLMDBBSA-N,12,0,F,C16HS2O2F7,80.8690313,55.32110657
5373,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4,IFMTVJABLGETAP-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,79.93794703,68.69564059
5375,Fc1c(F)ccc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4,IHMRXTXWIDULHN-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,80.01227888,51.63641431
